date;x;y;z
1573728305237;-0.325003176;-0.309539105;-1.624118858
1573728305247;-1.240667509;1.085460261;-1.896887822
1573728305257;-1.421574958;1.818387283;-2.007842861
1573728305267;-1.596946681;2.634572421;-2.280481404
1573728305277;-2.411451359;3.900436333;-2.651821189
1573728305287;-4.763896004;7.502695411;-3.362611049
1573728305297;-4.010314191;7.611060595;-3.07316112
1573728305307;-3.146959849;6.793700771;-2.458528896
1573728305317;-3.758721978;5.266408981;-3.744278638
1573728305327;-2.945686078;2.742129565;-4.451097654
1573728305337;0.003176327;-0.671676444;-3.208451213
1573728305347;1.0904664;-3.555950775;-1.371575881
1573728305357;-1.180894168;-7.794054519;2.564910468
1573728305367;1.12387483;-7.890115794;3.752769134
1573728305377;1.266849269;-5.484656522;2.343331068
1573728305387;0.354594985;2.415638201;-0.607643533
1573728305397;0.16109298;5.334192079;-1.957112446
1573728305407;-1.066311086;9.170678554;0.76338948
1573728305417;-2.094202968;13.25117907;4.870475349
1573728305427;-0.173719003;10.92272365;13.68770752
1573728305437;0.719106425;-1.267668245;7.717036131
1573728305447;4.375362197;-9.028006742;3.630028823
1573728305457;6.672127946;-12.20234476;-2.045270555
1573728305467;11.58944186;-12.99500559;-9.711379999
1573728305477;8.061045522;-7.591915597;-2.513352199
1573728305487;3.123768897;-3.238797656;0.946635975
1573728305497;-1.239770244;-0.21599006;5.783217059
1573728305507;-2.263616237;1.604663091;5.362072457
1573728305517;-2.408485701;3.015217366;3.033180991
1573728305527;-1.681622331;4.021077396;2.349930032
1573728305537;0.983781525;7.997603799;6.645363032
1573728305547;2.503188855;7.700529023;4.657405995
1573728305557;1.833999449;5.853965699;1.626689262
1573728305567;1.666397328;4.024287366;0.489237838
1573728305577;-1.256450848;1.38068325;-0.742503315
1573728305587;-3.824572624;-0.795491547;2.302023578
1573728305597;-4.77582183;-1.90819347;1.121442929
1573728305607;-6.73200676;-4.054831601;-14.68622578
1573728305617;-4.833981492;-4.454373627;-8.929568396
1573728305627;-3.009102994;-4.375612091;-2.761308182
1573728305637;-1.549200578;-3.89888483;0.947469053
1573728305647;2.009092312;-3.425565765;1.324922226
1573728305657;2.741167801;-1.943662298;2.025279825
1573728305667;2.024382414;-0.528296004;3.765428595
1573728305677;0.77674693;0.282216255;1.051012844
1573728305687;0.406877078;0.103189233;-0.4156667
1573728305697;0.708573919;-0.515041158;-0.976094794
1573728305707;0.597504935;-0.718490446;-1.02604209
1573728305717;-0.211526138;-0.651407118;0.25176872
1573728305727;-0.337772737;-0.168699166;0.400612554
1573728305737;-0.561353072;0.294081576;0.136615341
1573728305747;-0.525696933;0.648983675;-0.120551105
1573728305757;-1.033473157;1.193394246;-0.341607138
1573728305767;-1.010653324;0.970038273;-0.012796581
1573728305777;-1.007720237;0.60747822;0.280897713
1573728305787;-1.235217099;0.148879304;0.194072323
1573728305797;-1.202694133;-0.049448192;0.063320507
